Cell_ID,Cell_class_id,Cell_class,Cell_class_name
5f4db735-8444-4fd0-8e50-e1c8ebb4fde8,7,OD Mature 2,OD Mature
51629721-00b3-4aeb-8492-60f4e1cab4c1,3,Excitatory,Excitatory
10a49cc4-0319-416f-91a3-45ece0245c7f,0,Astrocyte,Astrocyte
8ec22143-3d53-4314-9ad9-2dbc9bf286a7,0,Astrocyte,Astrocyte
280cd84c-55d5-4505-8d9c-d3a45051ab2b,1,Endothelial 1,Endothelial
f60d6334-dcd0-443f-8e1d-d3c6366958cc,0,Astrocyte,Astrocyte
223aa66a-6856-4cc4-ba53-106df8ea1b11,1,Endothelial 1,Endothelial
65ab7c2f-781b-4cc0-bb96-4b2fb3af8f8b,0,Astrocyte,Astrocyte
f7fe76b5-b206-47c4-bf56-0a814c8640f9,5,Microglia,Microglia
c1dcb20f-5ffa-4389-9b87-60c12d9fa850,7,OD Mature 2,OD Mature
d5695953-9cf3-46a0-b0f6-412c01c4b600,4,Inhibitory,Inhibitory
