Cell_ID,Cell_class_id,Cell_class,Cell_class_name
fff25678-1835-4740-b884-b192cd0bef8c,1,Endothelial 1,Endothelial
f08d3094-98fc-4d96-a621-531a53073544,3,Excitatory,Excitatory
56fc112a-6fa4-45db-9166-7832e6324356,0,Astrocyte,Astrocyte
7927b22d-0914-4619-9ca2-9662e83c5f1a,4,Inhibitory,Inhibitory
a030ae2d-bd41-4805-82a3-a095ca0ba241,4,Inhibitory,Inhibitory
0b49410d-52b2-4b13-add6-49d18125fa23,3,Excitatory,Excitatory
6dc750b2-5ff9-459e-9b7c-400e83f5c476,4,Inhibitory,Inhibitory
183fe304-b5d9-4413-b287-03e91508f9b8,6,OD Immature 1,OD Immature
98e56b1e-9b64-4c17-b802-eea0bdc27163,4,Inhibitory,Inhibitory
814ff30e-ebaf-45a4-8cc0-e3c7c69fe422,4,Inhibitory,Inhibitory
e38879be-37e1-4f24-a576-ccb00752816d,4,Inhibitory,Inhibitory
57db88fb-58e4-4b20-b859-32456136770b,0,Astrocyte,Astrocyte
7113aabd-8d5e-4b98-9d1d-4a81b8679372,4,Inhibitory,Inhibitory
bc20e990-c411-4ab0-bc2a-01fd3205b11e,4,Inhibitory,Inhibitory
104d3b98-30ca-4fd0-980f-e4e9d6320181,4,Inhibitory,Inhibitory
7e28287d-c845-4efd-9f9f-00d32042d44f,4,Inhibitory,Inhibitory
5aae6b93-6754-4afc-b516-403b018d2142,4,Inhibitory,Inhibitory
2f418fb9-82db-423a-bdec-0c42a11d5cad,1,Endothelial 1,Endothelial
5bcb84d1-8990-432c-bb9e-522b82455d92,4,Inhibitory,Inhibitory
da6d30f6-9117-4413-8d94-ccb19b46450c,3,Excitatory,Excitatory
9fc07fc4-0f73-4006-a236-a09e39f13905,3,Excitatory,Excitatory
2c416310-4645-4171-8850-97d16d822e4e,4,Inhibitory,Inhibitory
812da86c-f27d-4303-b06a-7de5e65501a8,4,Inhibitory,Inhibitory
c0fedca5-c2f9-4664-a8b8-b59e8874f826,4,Inhibitory,Inhibitory
31a00a84-008f-4a60-9ade-bdb3f2687d7e,4,Inhibitory,Inhibitory
e50f0dfa-e0fd-4a3d-9141-399f0eda9fd9,0,Astrocyte,Astrocyte
4e928986-f3f4-43e1-9dc1-f8b3e6f82c12,4,Inhibitory,Inhibitory
cd3b295c-1254-45a1-ad82-7cc13536dc02,0,Astrocyte,Astrocyte
2926d25c-a4d8-49c8-a936-e874679f117b,4,Inhibitory,Inhibitory
1318fc87-2075-414f-936f-de0d5aade6e4,4,Inhibitory,Inhibitory
4b882466-0738-47f2-bffc-0471e18e8df8,4,Inhibitory,Inhibitory
b125d48b-6a3b-485e-9fdb-bd6c71ad1773,4,Inhibitory,Inhibitory
6127fc6f-a72a-42a2-b170-99104511878f,4,Inhibitory,Inhibitory
1b28ca98-9f02-4b63-81e3-899ffed24f00,1,Endothelial 1,Endothelial
77607970-e53c-4c59-9acf-82ddc160243a,4,Inhibitory,Inhibitory
7f8eb657-67c4-4194-92e9-89a5d95d3c29,5,Microglia,Microglia
c062dcf8-0db6-452f-b3ce-dc1f31231835,4,Inhibitory,Inhibitory
602bffd5-c684-48bc-88de-f38600a5a3ad,4,Inhibitory,Inhibitory
2847564c-ab54-4cd7-9252-64d1869128c0,4,Inhibitory,Inhibitory
d6e86f72-f2b8-4cb9-905b-6ee30d6247af,4,Inhibitory,Inhibitory
e9eeeaba-97fc-474b-9437-bdc04fc06709,4,Inhibitory,Inhibitory
4a3ebcbd-7663-499e-abe0-9878e28d7e3a,4,Inhibitory,Inhibitory
5293b969-0303-430c-a050-d36a15f7cb6a,0,Astrocyte,Astrocyte
2bf56ad4-55a2-487d-9b25-d7b235aac626,0,Astrocyte,Astrocyte
ddc0d0b1-40e4-4e56-a81a-277d77b5b83e,3,Excitatory,Excitatory
ae658412-540f-4012-9eb8-f6bb452e177f,1,Endothelial 1,Endothelial
87ef54d5-17bf-484f-93b7-49ab1572c028,1,Endothelial 3,Endothelial
04e401a2-bd40-4d85-bf7f-f260af0ad68e,0,Astrocyte,Astrocyte
d2bc80d6-0d6d-4b94-9935-b01e718843df,0,Astrocyte,Astrocyte
58a4cf18-207c-41f4-be61-fef5690c8810,4,Inhibitory,Inhibitory
9b397926-fae6-41ea-a369-5103c886bb9b,7,OD Mature 2,OD Mature
486f9b71-c263-4a69-badb-83668fabae79,0,Astrocyte,Astrocyte
85053c8e-2f14-4e2a-a834-467fc82d7437,4,Inhibitory,Inhibitory
3c772186-1a95-4643-aa6b-4f29e56e5e07,4,Inhibitory,Inhibitory
57ae0110-8d57-4e97-95e4-1ec7af3faee7,6,OD Immature 1,OD Immature
2750b855-ed85-4c51-a147-677d8b99fde5,7,OD Mature 2,OD Mature
6cbb3c82-bd66-4bb4-8bee-01501416547a,4,Inhibitory,Inhibitory
251a99d7-0649-4311-89c9-dce7be5257fc,1,Endothelial 1,Endothelial
3010845f-ceb6-4f2f-9639-d346e07916e1,4,Inhibitory,Inhibitory
e6625d0c-b616-4339-a33f-754237e1120c,0,Astrocyte,Astrocyte
d3b3e7c3-429e-424d-b2ef-b93df91ff02c,0,Astrocyte,Astrocyte
5b4a2503-18e9-42dd-bf39-335609c1d5bb,1,Endothelial 1,Endothelial
86e8e895-3a3f-4c40-a8d3-205122e50696,1,Endothelial 3,Endothelial
4eba078d-1038-49eb-b16e-863188a3b499,7,OD Mature 2,OD Mature
be266563-fd50-4c7d-864b-6b73895da9de,6,OD Immature 1,OD Immature
e3f8bf55-ddb2-4b81-8cac-83940b2c8db5,4,Inhibitory,Inhibitory
6deb5a43-080b-4f1b-871d-73554091a47f,4,Inhibitory,Inhibitory
